Company,Symbol,Previous Close,1y Target Est,Undervalue Rate,Annual_Return_5Y,Annual_Volatility_5Y,Weight
Cognizant,CTSH,70.86,110.90126492320076,0.5650757115890597,0.0475708025930402,0.2576606938819061,0.0
Copart,CPRT,47.81,36.64627137367082,-0.2335019583001293,0.1620402130995858,0.2604685065010105,3.5114276657533604e-18
CoStar Group,CSGP,88.95,52.00757242667869,-0.4153167799136741,0.0650406720012716,0.3273785106022577,9.406513064942929e-18
Costco,COST,980.85,432.2170274030824,-0.559344418205554,0.2387733085832745,0.2260270917436256,0.007142157044140695
CrowdStrike,CRWD,418.6,385.1648462398832,-0.0798737548019992,0.4017568141334078,0.522568092964985,3.769308887813196e-18
CSX Corporation,CSX,36.52,33.33300851550504,-0.0872670176477261,0.1032068922830493,0.235253905102579,0.012848387107705781
Datadog,DDOG,128.99,151.21511244971268,0.1723010500791741,0.2344454458850028,0.5586511508570077,0.0
DexCom,DXCM,80.9,32.24505846650807,-0.6014207853336456,0.0628883287709728,0.4706987807476545,0.0
DoorDash,DASH,248.37,103.16472454724428,-0.5846329083736188,0.2252237074239043,0.5866140482482105,0.0
Electronic Arts,EA,170.68,294.2426581781611,0.7239433921851481,0.0704988688746455,0.2498486231401426,0.08570143719436564
Fastenal,FAST,49.9,25.20182895355736,-0.494953327584021,0.1726016176700495,0.2419313475491442,1.5887248121087213e-17
Fortinet,FTNT,78.09,127.47324711889895,0.6323888733371619,0.3177593725845042,0.4323016023790663,2.064628065986368e-17
GE HealthCare,GEHC,73.97,61.92023051567149,-0.1629007636113087,0.1315827938518671,0.3249991383697747,0.009234242703368757
Gilead Sciences,GILD,117.98,247.99301004220945,1.1019919481455285,0.1437666240898761,0.2344205485309858,0.05860301639127237
GlobalFoundries,GFS,33.22,16.636159359876064,-0.4992125418459944,0.0331941221716624,0.4987805006678334,1.2422132545635466e-17
Honeywell,HON,216.74,168.37180267232472,-0.2231623019639904,0.0883960663256004,0.2189579196948513,1.8841523650620013e-17
Idexx Laboratories,IDXX,636.71,162.04703964091502,-0.7454931764211101,0.1642619606801719,0.3539044636801933,0.0
Intel,INTC,25.31,-22.60703215094184,-1.893205537374233,-0.0510211024016033,0.4390758411453308,0.0
Intuit,INTU,700.939,630.9297520851682,-0.09987923045348,0.215027503912332,0.3447213454631755,0.0
Intuitive Surgical,ISRG,479.2,117.4238948209496,-0.7549584832617913,0.201162840952113,0.3297194567934064,4.3440381463198826e-17
Keurig Dr Pepper,KDP,35.18,74.97849400070989,1.1312818078655456,0.0577187957487857,0.1916659508558165,0.13120295645308147
KLA Corporation,KLAC,876.08,531.4374923575325,-0.3933915939668381,0.3830822096797567,0.4228957412719791,0.0
Lam Research,LRCX,100.33,57.14608410240748,-0.4304187770117863,0.3070879717859373,0.4467826902529319,1.0606930712223299e-17
Linde plc,LIN,479.92,304.34133922689364,-0.3658498515859025,0.1603212692035389,0.2173678736127876,0.0
Lululemon,LULU,197.66,557.7692049994067,1.8218618081524167,-0.0427449926670507,0.403353842355673,1.0659518523591391e-17
Marriott International,MAR,266.78,295.7827849408448,0.1087142399761782,0.2518933853336081,0.3083996540348309,3.64704270389743e-17
