Company,Symbol,Previous Close,1y Target Est,Undervalue Rate,Annual_Return_5Y,Annual_Volatility_5Y,Weight,Risk_Contribution
Linde plc,LIN,452.49,491.57,0.0863665495370062,0.21716612929593,0.2256342078274421,0.014010047828659578,0.0016010017442592468
Lululemon Athletica,LULU,278.55,332.59,0.1940046670256685,0.1142412613764293,0.3943803094747752,0.008700976537470309,0.0017419552671388116
Marriott International,MAR,247.27,271.87,0.0994863913940227,0.2787931604395336,0.3390584083099285,0.009948146339947322,0.0017114053703225812
Marvell Technology,MRVL,58.37,103.36,0.7707726571869111,0.3301609104316066,0.5640358261736984,0.006275007339982485,0.0017983554565417273
MercadoLibre,MELI,2246.54,2474.37,0.1014137295574528,0.3443275299468022,0.5121938463819656,0.0068601741002849185,0.0017849621697730376
Meta Platforms,META,599.27,703.89,0.1745790712032973,0.304582647854924,0.441005365974191,0.00786727861292314,0.001761828133547262
Microchip Technology,MCHP,47.78,58.82,0.2310590205106739,0.1306357558049673,0.4326732362801336,0.008004266832626065,0.0017585445664595294
Micron Technology,MU,80.42,123.77,0.5390450136781895,0.2241667063481924,0.468576136031223,0.007445035362090692,0.001771792652141112
Microsoft,MSFT,436.17,505.93,0.1599376389939701,0.2181088578648148,0.271704570205175,0.012032291305194601,0.0016572774002838284
MicroStrategy,MSTR,386.53,502.79,0.3007787235143457,1.139736853774291,0.9508427941612662,0.0038283647075179196,0.001851190627324941
Mondelez International,MDLZ,67.8,72.63,0.0712389380530973,0.1007967702267622,0.1862450996927006,0.01625636912116081,0.0015316440259112362
MongoDB Inc.,MDB,162.66,268.21,0.6488995450633221,0.2224746420325775,0.673492922882777,0.005315328186816446,0.0018195676277749633
Monster Beverage,MNST,59.09,58.06,-0.0174310374005753,0.1618061016397807,0.2423884259257689,0.013224315798072131,0.0016240422935966197
"Netflix, Inc.",NFLX,1134.06,1096.58,-0.0330493977390967,0.2956296742389674,0.4462410244472884,0.007783549192173865,0.0017638292129972643
Nvidia,NVDA,113.82,163.12,0.4331400456861713,0.6830858616565554,0.5306953523606337,0.006639021831137704,0.0017899645292861973
NXP Semiconductors,NXPI,184.31,235.03,0.2751885410449786,0.2140551286757161,0.4060709234327005,0.008475632583927983,0.001747293151992975
O'Reilly Automotive,ORLY,1370.16,1460.44,0.065890115023063,0.2821126628246291,0.2249044398205564,0.014046309014800099,0.0015999255750229937
Old Dominion Freight Line,ODFL,156.23,167.01,0.0690008321065096,0.2055034470014833,0.3380729663429589,0.009973484114039165,0.0017107594481661035
