Company,Symbol,Previous Close,1y Target Est,Undervalue Rate,Analyst_Count,Annual_Return_5Y,Annual_Volatility_5Y
Marriott International,MAR,262.27,289.0,0.1019178708964045,32,0.2540533531745665,0.30866212434938184
Marvell Technology,MRVL,71.21,99.29,0.394326639516922,88,0.3094984947520245,0.5695586475852089
Mercado Libre,MELI,2337.44,2700.0,0.1551098637825998,29,0.26896667011409875,0.5080120080321028
Meta Platforms,META,739.1,850.0,0.1500473548910836,235,0.30303379008014175,0.4396817373491122
Microchip Technology,MCHP,66.1,69.33,0.0488653555219364,39,0.14395607888097328,0.4334058560248996
Micron Technology,MU,115.79,146.43,0.2646169790137318,153,0.30711371937313914,0.46573842220527245
Microsoft,MSFT,504.24,601.38,0.1926463588767253,190,0.20882022375730988,0.26556895511306056
MicroStrategy,MSTR,337.58,220.0,-0.3483026245630665,9,1.0919883968413335,0.9554061623529176
Mondelez International,MDLZ,62.94,73.25,0.1638068001271051,38,0.035555633641183255,0.18727206479849945
Monster Beverage,MNST,64.36,68.17,0.0591982597886886,38,0.1105002407912271,0.24010913941443598
"Netflix, Inc.",NFLX,1206.21,1250.45,0.0366768638960048,236,0.2821412012087361,0.44110033629608725
Nvidia,NVDA,174.98,190.78,0.0902960338324381,235,0.667832044879233,0.5270666584623265
NXP Semiconductors,NXPI,223.93,252.5,0.1275845130174608,76,0.207691740068252,0.39873804539692054
O'Reilly Automotive,ORLY,102.87,1580.0,14.359191212209584,22,0.2653867999685775,0.22316870175650388
Old Dominion Freight Line,ODFL,149.75,178.0,0.1886477462437394,47,0.15486597223418502,0.3472190718138788
Onsemi,ON,48.81,60.0,0.229256299938537,87,0.3126944431480066,0.5193852440629801
Paccar,PCAR,97.54,111.33,0.1413778962476932,34,0.14608374228670973,0.2589647709598887
Palantir Technologies,PLTR,156.18,150.0,-0.0395697272378026,66,0.831985846098489,0.7228751705020426
Palo Alto Networks,PANW,183.32,254.0,0.3855553131136811,146,0.37175469221104324,0.4089659079408316
Paychex,PAYX,138.41,154.8,0.1184162994003323,31,0.15159939788081658,0.2297784590091215
PayPal,PYPL,67.55,76.67,0.1350111028867506,161,-0.1184378416322965,0.4240892005565455
PDD Holdings,PDD,122.96,121.0,-0.0159401431359791,38,0.3421450722730907,0.7277773123108358
PepsiCo,PEP,148.98,153.67,0.0314807356692172,51,0.03267492928844205,0.17824454289964903
Qualcomm,QCOM,154.13,185.0,0.2002854733017582,70,0.13648792114862893,0.3856986773387702
Regeneron Pharmaceuticals,REGN,598.16,679.0,0.135147786545406,79,0.04350061498118137,0.3001919098715653
Roper Technologies,ROP,526.94,645.0,0.2240482787414126,17,0.06565183827900184,0.209797340995526
Ross Stores,ROST,145.62,146.67,0.0072105480016479,62,0.15067410547605486,0.31555564566289657
Shopify,SHOP,136.68,130.0,-0.0488732806555458,104,0.2830514012394698,0.6552531195666813
Starbucks,SBUX,88.56,107.5,0.2138663053297198,99,0.07088049204458395,0.3104626200633951
Synopsys,SNPS,598.17,545.0,-0.0888877743785211,34,0.2721006032838621,0.3541733469301744
T-Mobile US,TMUS,258.16,266.4,0.0319181902695999,57,0.1860082658609035,0.24037410230301015
Take-Two Interactive,TTWO,227.87,258.0,0.1322245139772677,1,0.10968249373315413,0.324855915450949
"Tesla, Inc.",TSLA,320.11,363.08,0.1342351066820779,214,0.3848299170934255,0.631008985371396
Texas Instruments,TXN,200.71,194.0,-0.0334313188181955,78,0.1222295373238405,0.30357603943119527
Thomson Reuters,TRI,176.09,182.0,0.0335623828723947,16,0.18154821509043192,0.20482611637168954
Trade Desk (The),TTD,52.3,98.33,0.8801147227533461,59,0.2723814227584838,0.6974145363208422
Verisk Analytics,VRSK,271.91,,,0,0.10262179527148131,0.22756267787839607
Vertex Pharmaceuticals,VRTX,397.46,482.44,0.2138076787601268,58,0.12521116557629441,0.3011106590813174
Warner Bros. Discovery,WBD,11.585,12.5,0.0789814415192058,34,0.02218916945842109,0.5445557229565612
"Workday, Inc.",WDAY,227.58,267.0,0.1732138149222251,97,0.10124869572213235,0.3816503091728371
Xcel Energy,XEL,73.16,76.33,0.0433296883542919,21,0.03287976012247709,0.21037821326964676
